"Omschrijving";"Aankomst";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"Z11115055";02-06-2012;1;8;770,00;8;699,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;160,00;22,89;539,00
"Z11115063";02-06-2012;1;12;1060,00;10;1070,00;742,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;742,00;328,00;30,65;742,00
"Z11115064";02-06-2012;1;6;635,00;4;645,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;200,50;31,09;444,50
"Z11115086";02-06-2012;1;6;635,00;6;655,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;210,50;32,14;444,50
"Z11115105";02-06-2012;1;10;895,00;10;825,50;626,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;626,50;199,00;24,11;626,50
"Z11115107";14-07-2012;1;18;1000,00;17;1020,00;770,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;770,00;250,00;24,51;770,00
"Z11115113";02-06-2012;1;6;635,00;6;655,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;210,50;32,14;444,50
"V11115117";20-07-2012;1;8;1390,00;5;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;973,00
"V11115137";13-07-2012;1;12;1500,00;5;1125,00;1050,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1050,00;75,00;6,67;1050,00
"V11115154";13-07-2012;1;8;1390,00;5;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;973,00
"Z11115178";02-06-2012;1;8;770,00;8;790,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;251,00;31,77;539,00
"Z11115179";02-06-2012;1;8;770,00;8;770,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;231,00;30,00;539,00
"Z11115180";02-06-2012;1;6;635,00;6;635,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;190,50;30,00;444,50
"Z11115195";02-06-2012;1;6;635,00;6;635,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;190,50;30,00;444,50
"Z11115230";30-06-2012;1;10;700,00;10;720,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;181,00;25,14;539,00
"Z11115258";30-06-2012;1;12;900,00;12;920,00;693,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;693,00;227,00;24,67;693,00
"Z11115262";21-07-2012;1;6;1071,00;4;1090,00;856,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;856,80;233,20;21,39;856,80
"Z11115281";28-07-2012;1;6;1158,00;5;950,00;926,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;926,40;23,60;2,48;926,40
"Z11115295";07-07-2012;1;9;2460,00;7;2234,00;1968,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1968,00;266,00;11,91;1968,00
"Z11115333";21-07-2012;1;14;1680,00;14;1700,00;1428,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1428,00;272,00;16,00;1428,00
"V11115348";21-07-2012;1;4;2025,00;3;1518,75;1417,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1417,50;101,25;6,67;1417,50
"Z11115367";14-07-2012;1;4;684,00;4;730,00;547,20;60,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;607,20;122,80;16,82;607,20
"Z11115385";09-06-2012;1;10;1800,00;5;1820,00;1440,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1440,00;380,00;20,88;1440,00
"Z11115387";23-06-2012;1;4;525,00;3;440,00;378,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;378,00;62,00;14,09;378,00
"Z11125010";19-05-2012;1;8;980,00;6;875,27;705,60;0,00;0,00;0,00;0,00;0,00;0,00;47,92;0,00;0,00;753,52;121,75;13,91;705,60
"V11125011";20-07-2012;1;12;2550,00;4;1912,50;1785,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1785,00;127,50;6,67;1785,00
"V11125012";20-07-2012;1;8;1500,00;5;1125,00;1050,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1050,00;75,00;6,67;1050,00
"V11125013";13-07-2012;1;8;1390,00;6;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;973,00
"Z11125032";30-06-2012;1;10;0,00;6;146,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;146,00;100,00;0,00
"Z11125034";02-06-2012;1;2;623,00;2;645,00;560,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;560,70;84,30;13,07;560,70
"V11125038";06-07-2012;1;8;1390,00;6;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;973,00
"Z11125045";05-06-2012;1;2;267,00;2;267,00;240,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;240,30;26,70;10,00;240,30
"Z11125062";30-06-2012;1;10;700,00;8;720,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;181,00;25,14;539,00
"Z11125063";14-07-2012;1;5;1560,00;4;1455,20;1326,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1326,00;129,20;8,88;1326,00
"Z11125064";04-06-2012;1;3;396,00;2;398,50;356,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;356,40;42,10;10,56;356,40
"Z11125065";04-06-2012;1;3;396,00;2;398,50;356,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;356,40;42,10;10,56;356,40
"Z11125066";04-06-2012;1;3;396,00;2;398,50;356,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;356,40;42,10;10,56;356,40
"Z11125067";04-06-2012;1;3;396,00;2;398,50;356,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;356,40;42,10;10,56;356,40
"Z11125068";04-06-2012;1;3;396,00;3;398,50;356,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;356,40;42,10;10,56;356,40
"Z11125069";04-06-2012;1;3;396,00;3;398,50;356,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;356,40;42,10;10,56;356,40
"Z11125070";04-06-2012;1;3;396,00;3;398,50;356,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;356,40;42,10;10,56;356,40
"Z11125071";04-06-2012;1;3;396,00;3;398,50;356,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;356,40;42,10;10,56;356,40
"Z11125082";30-06-2012;1;12;900,00;9;920,00;693,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;693,00;227,00;24,67;693,00
"Z11125083";03-06-2012;1;3;495,00;3;470,25;445,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;445,50;24,75;5,26;445,50
"Z11125085";07-07-2012;1;2;900,00;2;830,00;720,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;720,00;110,00;13,25;720,00
"Z11125088";14-07-2012;1;6;1650,00;6;1670,00;1320,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1320,00;350,00;20,96;1320,00
"Z11125102";07-07-2012;1;10;1285,00;8;1305,00;1028,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1028,00;277,00;21,23;1028,00
"Z11125124";05-06-2012;1;3;297,00;3;304,50;267,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;267,30;37,20;12,22;267,30
"Z11125125";05-06-2012;1;3;297,00;3;304,50;267,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;267,30;37,20;12,22;267,30
"Z11125128";22-06-2012;1;10;160,00;6;220,00;160,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;160,00;60,00;27,27;160,00
"Z11125129";18-08-2012;1;6;672,00;4;690,00;537,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;537,60;152,40;22,09;537,60
"Z11125142";13-09-2012;1;10;225,00;10;245,00;173,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;173,25;71,75;29,29;0,00
"Z11125152";07-07-2012;1;8;995,00;8;1015,00;796,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;796,00;219,00;21,58;796,00
"Z11125154";30-06-2012;1;10;700,00;7;1560,00;539,00;0,00;0,00;0,00;0,00;646,80;0,00;0,00;0,00;0,00;1185,80;374,20;23,99;539,00
"Z11125155";30-06-2012;1;18;1100,00;18;2980,00;847,00;1432,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2279,20;700,80;23,52;0,00
"Z11125156";30-06-2012;1;10;0,00;8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100,00;0,00
"Z11125162";21-07-2012;1;4;1540,00;4;1336,45;1108,80;0,00;0,00;0,00;0,00;0,00;0,00;55,55;0,00;0,00;1164,35;172,10;12,88;1108,80
"Z11125166";02-06-2012;1;2;0,00;2;251,26;0,00;168,00;0,00;0,00;0,00;0,00;0,00;19,15;0,00;0,00;187,15;64,11;25,52;168,00
"V11125167";06-07-2012;1;8;1390,00;3;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;973,00
"Z11125171";02-06-2012;1;2;534,00;2;542,50;480,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;480,60;61,90;11,41;480,60
"V11125173";28-07-2012;1;8;1390,00;4;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;973,00
"Z11125179";02-06-2012;1;3;693,00;3;700,00;623,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;623,70;76,30;10,90;623,70
"Z11125180";02-06-2012;1;2;623,00;2;630,00;560,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;560,70;69,30;11,00;560,70
"Z11125181";02-06-2012;1;2;623,00;2;630,00;560,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;560,70;69,30;11,00;560,70
"Z11125182";05-06-2012;1;2;267,00;2;272,00;240,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;240,30;31,70;11,65;240,30
"Z11125184";03-06-2012;1;3;495,00;3;497,00;445,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;445,50;51,50;10,36;445,50
"Z11125185";04-06-2012;1;3;396,00;3;399,00;356,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;356,40;42,60;10,68;356,40
"Z11125186";04-06-2012;1;3;396,00;3;399,00;356,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;356,40;42,60;10,68;356,40
"Z11125187";04-06-2012;1;2;356,00;2;359,00;320,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;320,40;38,60;10,75;320,40
"Z11125188";04-06-2012;1;2;356,00;2;359,00;320,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;320,40;38,60;10,75;320,40
"Z11125189";03-06-2012;1;2;445,00;2;448,00;400,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;400,50;47,50;10,60;400,50
"Z11125190";04-06-2012;1;2;356,00;2;359,00;320,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;320,40;38,60;10,75;320,40
"V11125198";28-07-2012;1;8;1700,00;4;1275,00;1190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1190,00;85,00;6,67;1190,00
"Z11125199";02-06-2012;1;2;623,00;2;630,00;560,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;560,70;69,30;11,00;560,70
"Z11125200";02-06-2012;1;2;623,00;2;630,00;560,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;560,70;69,30;11,00;560,70
