"Omschrijving";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"V11115154";1;8;1390,00;5;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;0,00
"Z11115178";1;8;770,00;8;790,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;251,00;31,77;0,00
"Z11115179";1;8;770,00;8;770,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;231,00;30,00;0,00
"Z11115180";1;6;635,00;6;635,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;190,50;30,00;0,00
"Z11115195";1;6;635,00;6;635,00;444,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;444,50;190,50;30,00;0,00
"Z11115230";1;10;700,00;8;720,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;181,00;25,14;0,00
"Z11115258";1;12;900,00;12;920,00;693,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;693,00;227,00;24,67;0,00
"Z11115262";1;4;1071,00;4;1090,00;856,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;856,80;233,20;21,39;0,00
"Z11115281";1;6;1158,00;5;950,00;926,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;926,40;23,60;2,48;0,00
"Z11115295";1;9;2460,00;7;2234,00;1968,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1968,00;266,00;11,91;0,00
"Z11115333";1;14;1680,00;14;1700,00;1428,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1428,00;272,00;16,00;0,00
"V11115348";1;6;2025,00;3;1518,75;1417,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1417,50;101,25;6,67;0,00
"Z11115367";1;4;684,00;4;700,00;547,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;547,20;152,80;21,83;0,00
"Z11115385";1;10;1800,00;5;1820,00;1440,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1440,00;380,00;20,88;0,00
"Z11115387";1;4;525,00;2;440,00;378,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;378,00;62,00;14,09;0,00
"Z11125010";1;8;980,00;6;875,27;705,60;0,00;0,00;0,00;0,00;0,00;0,00;45,57;0,00;0,00;751,17;124,10;14,18;0,00
"V11125011";1;12;2550,00;4;1912,50;1785,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1785,00;127,50;6,67;0,00
"V11125012";1;8;1500,00;5;1125,00;1050,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1050,00;75,00;6,67;0,00
"V11125013";1;8;1390,00;6;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;0,00
"Z11125032";1;10;0,00;6;146,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;146,00;100,00;0,00
"Z11125034";1;2;623,00;2;645,00;560,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;560,70;84,30;13,07;0,00
"V11125038";1;8;1390,00;7;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;0,00
"Z11125045";1;2;267,00;2;267,00;240,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;240,30;26,70;10,00;0,00
"Z11125062";1;10;700,00;8;720,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;181,00;25,14;0,00
"Z11125063";1;5;1560,00;4;1455,20;1326,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1326,00;129,20;8,88;0,00
"Z11125064";1;2;267,00;2;269,50;240,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;240,30;29,20;10,83;0,00
"Z11125065";1;2;267,00;2;269,50;240,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;240,30;29,20;10,83;0,00
"Z11125066";1;2;267,00;2;269,50;240,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;240,30;29,20;10,83;0,00
"Z11125067";1;2;267,00;2;269,50;240,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;240,30;29,20;10,83;0,00
"Z11125068";1;3;297,00;3;299,50;267,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;267,30;32,20;10,75;0,00
"Z11125069";1;3;297,00;3;299,50;267,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;267,30;32,20;10,75;0,00
"Z11125070";1;3;297,00;3;299,50;267,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;267,30;32,20;10,75;0,00
"Z11125071";1;3;297,00;3;299,50;267,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;267,30;32,20;10,75;0,00
"Z11125082";1;12;900,00;9;920,00;693,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;693,00;227,00;24,67;0,00
"Z11125083";1;3;495,00;3;470,25;445,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;445,50;24,75;5,26;0,00
"Z11125085";1;2;900,00;2;830,00;720,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;720,00;110,00;13,25;0,00
"Z11125088";1;6;1650,00;6;1670,00;1320,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1320,00;350,00;20,96;0,00
"Z11125102";1;10;1285,00;8;1305,00;1028,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1028,00;277,00;21,23;0,00
"Z11125124";1;3;297,00;3;304,50;267,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;267,30;37,20;12,22;0,00
"Z11125125";1;3;297,00;3;304,50;267,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;267,30;37,20;12,22;0,00
"Z11125128";1;10;400,00;6;420,00;308,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;308,00;112,00;26,67;0,00
"Z11125129";1;6;672,00;4;690,00;537,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;537,60;152,40;22,09;0,00
"Z11125142";1;10;225,00;10;245,00;173,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;173,25;71,75;29,29;0,00
"Z11125152";1;8;995,00;8;1154,00;935,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;935,00;219,00;18,98;0,00
"Z11125154";1;10;700,00;8;1680,00;539,00;0,00;0,00;0,00;0,00;739,20;0,00;0,00;0,00;0,00;1278,20;401,80;23,92;0,00
"Z11125155";1;18;1100,00;16;2920,00;847,00;0,00;0,00;0,00;0,00;1386,00;0,00;0,00;0,00;0,00;2233,00;687,00;23,53;0,00
"Z11125156";1;10;0,00;8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-100,00;0,00
"Z11125162";1;4;1540,00;4;1336,45;1108,80;0,00;0,00;0,00;0,00;0,00;0,00;51,85;0,00;0,00;1160,65;175,80;13,15;0,00
"Z11125166";1;2;420,00;2;471,26;336,00;0,00;0,00;0,00;0,00;0,00;0,00;17,89;0,00;0,00;353,89;117,37;24,91;0,00
"V11125167";1;8;1390,00;3;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;0,00
"Z11125171";1;2;534,00;2;542,50;480,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;480,60;61,90;11,41;0,00
"V11125173";1;8;1390,00;4;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;0,00
"Z11125179";1;3;693,00;3;700,00;623,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;623,70;76,30;10,90;0,00
"Z11125180";1;2;623,00;2;630,00;560,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;560,70;69,30;11,00;0,00
"Z11125181";1;2;623,00;2;630,00;560,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;560,70;69,30;11,00;0,00
"Z11125182";1;2;267,00;2;272,00;240,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;240,30;31,70;11,65;0,00
"Z11125184";1;3;495,00;3;497,00;445,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;445,50;51,50;10,36;0,00
