"Omschrijving";"Aankomst";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"C12105404";02-02-2013;1;12;2295,00;12;2015,00;1250,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1250,00;765,00;37,97;0,00
"V12105405";12-01-2013;1;12;2295,00;9;2315,00;1813,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1813,05;501,95;21,68;0,00
"C12105406";29-12-2012;1;8;1979,00;7;2754,00;1266,56;0,00;1037,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2304,31;449,69;16,33;0,00
"V12105407";29-12-2012;1;8;2100,00;8;4630,00;2245,00;0,00;1149,00;271,95;0,00;0,00;0,00;0,00;0,00;0,00;3665,95;964,05;20,82;0,00
"E12105408";23-02-2013;1;18;6000,00;18;4250,00;3250,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3250,00;1000,00;23,53;0,00
"C12105409";12-01-2013;1;12;2610,00;9;3850,00;1957,50;0,00;957,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2915,00;935,00;24,29;0,00
"C12105410";26-01-2013;1;10;1000,00;7;2589,00;400,00;0,00;1354,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1754,50;834,50;32,23;0,00
"C12105411";09-02-2013;1;12;3237,00;10;6000,00;3237,00;0,00;1340,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4577,50;1422,50;23,71;0,00
"B12105412";23-02-2013;1;16;3762,00;14;4285,00;3385,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3385,80;899,20;20,98;0,00
"C12105413";22-12-2012;1;5;1149,00;4;960,00;689,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;689,40;270,60;28,19;0,00
"C12105414";16-02-2013;1;10;2110,00;8;4377,50;1730,20;0,00;1519,00;371,00;0,00;0,00;0,00;0,00;0,00;0,00;3620,20;757,30;17,30;0,00
"C12105415";02-02-2013;1;12;1625,00;9;4285,00;1795,00;0,00;1723,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3518,50;766,50;17,89;0,00
"C12105416";05-01-2013;1;10;795,00;9;815,00;350,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;350,00;465,00;57,06;0,00
"C12105417";02-02-2013;1;15;3495,00;15;3763,12;1450,00;0,00;0,00;0,00;0,00;0,00;0,00;315,19;0,00;0,00;1765,19;1997,93;53,09;0,00
"C12105418";02-02-2013;1;10;2495,00;10;2532,94;1050,00;0,00;0,00;0,00;0,00;0,00;0,00;150,55;0,00;0,00;1200,55;1332,39;52,60;0,00
"Q12105419";22-12-2012;1;8;2025,00;8;2477,00;2170,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2170,00;307,00;12,39;0,00
"C12105420";23-02-2013;1;2;899,00;2;1375,00;725,94;0,00;470,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1196,34;178,66;12,99;0,00
"C12105421";12-01-2013;1;6;525,00;6;1146,00;578,50;0,00;0,00;216,00;131,75;0,00;0,00;0,00;0,00;0,00;926,25;219,75;19,18;0,00
"C12105422";26-01-2013;1;14;1710,00;10;3570,00;1453,50;0,00;1560,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3013,90;556,10;15,58;0,00
"C12105423";09-03-2013;1;6;665,00;5;879,50;718,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;718,00;161,50;18,36;0,00
"C12105424";02-03-2013;1;8;2100,00;4;3049,44;2112,00;0,00;0,00;324,00;0,00;0,00;0,00;30,12;0,00;0,00;2466,12;583,32;19,13;0,00
"C12105425";09-02-2013;1;10;3000,00;6;4232,00;2375,00;0,00;1161,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3536,00;696,00;16,45;0,00
"Q12105426";23-02-2013;1;8;4395,00;8;3735,75;3472,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3472,05;263,70;7,06;0,00
